输入商标名,历史商标名,历史商标编号,所属大类,汉字编辑距离相似度,拼音相似度,汉字包含被包含,汉字排列组合,汉字含义相近,汉字字形相似度,英文编辑距离相似度,英文包含被包含,英文排列组合,数字完全匹配,历史商标状态,是否相似商标
柠檬鱼,柠檬船,15559415,43,0.67,0.73,0.67,0.67,0.92,0.79,0.0,0.0,0.0,0.0,1,1
柠檬鱼,甜心柠檬,21442998,43,0.25,0.33,0.67,0.5,0.49,0.0,0.0,0.0,0.0,0.0,0,1
柠檬鱼,柠檬珍,20597539,43,0.5,0.61,0.67,0.5,0.85,0.0,0.0,0.0,0.0,0.0,1,1
柠檬鱼,柠檬密码,15567067,43,0.5,0.67,0.67,0.5,0.85,0.0,0.0,0.0,0.0,0.0,1,1
柠檬鱼,柠檬宣言,15579778,43,0.5,0.61,0.67,0.5,0.85,0.0,0.0,0.0,0.0,0.0,1,1
柠檬鱼,柠檬日记,15540747,43,0.5,0.67,0.67,0.5,0.85,0.0,0.0,0.0,0.0,0.0,1,1
柠檬鱼,柠檬冰,15647751,43,0.67,0.71,0.67,0.67,0.92,0.75,0.0,0.0,0.0,0.0,1,1
柠檬鱼,江老大柠檬鱼,17377893,43,0.5,0.48,1.0,0.5,0.86,0.0,0.0,0.0,0.0,0.0,1,1
柠檬鱼,齐家柠檬鱼,17355679,43,0.6,0.63,1.0,0.6,0.9,0.0,0.0,0.0,0.0,0.0,1,1
柠檬鱼,红柠檬,15528167,43,0.33,0.43,0.67,0.67,0.58,0.83,0.0,0.0,0.0,0.0,1,1
柠檬鱼,子书柠檬鱼,18551169,43,0.6,0.63,1.0,0.6,0.9,0.0,0.0,0.0,0.0,0.0,0,1
柠檬鱼,幸福柠檬鱼,16989479,43,0.6,0.6,1.0,0.6,0.9,0.0,0.0,0.0,0.0,0.0,1,1
柠檬鱼,彩色柠檬,14393019,43,0.25,0.38,0.67,0.5,0.47,0.0,0.0,0.0,0.0,0.0,1,1
柠檬鱼,柠檬码头,21488997,43,0.5,0.69,0.67,0.5,0.86,0.0,0.0,0.0,0.0,0.0,1,1
柠檬鱼,小弥柠檬鱼,17551826,43,0.6,0.6,1.0,0.6,0.9,0.0,0.0,0.0,0.0,0.0,1,1
柠檬鱼,柠檬渔村,20769353,43,0.5,0.75,0.67,0.5,0.85,0.0,0.0,0.0,0.0,0.0,1,1
柠檬鱼,柠檬树,9791675,43,0.67,0.85,0.67,0.67,0.91,0.74,0.0,0.0,0.0,0.0,1,1
柠檬鱼,柠檬季,15540748,43,0.67,0.83,0.67,0.67,0.91,0.79,0.0,0.0,0.0,0.0,1,1
